2019-11-20 11:19:41,990 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [learn.flow.dao.datasource.DataSourceTest], using SpringBootContextLoader
2019-11-20 11:20:40,364 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:235 - Found @SpringBootConfiguration learn.flow.dao.FlowDaoApplication for test class learn.flow.dao.mapepr.SimpleMapperTest
2019-11-20 11:20:40,660 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-11-20 11:20:40,682 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4b520ea8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@16150369, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6b09fb41, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@624ea235, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3932c79a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@782859e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@23f5b5dc, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@34bde49d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1b1cfb87, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@821330f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6f43c82, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5db6b9cd]
2019-11-20 11:20:41,146 [main] INFO  [learn.flow.dao.mapepr.SimpleMapperTest] StartupInfoLogger.java:50 - Starting SimpleMapperTest on C07450 with PID 1280 (started by lxiang17 in D:\PROJECT\flow-all\flow-dao)
2019-11-20 11:20:41,146 [main] INFO  [learn.flow.dao.mapepr.SimpleMapperTest] SpringApplication.java:648 - No active profile set, falling back to default profiles: default
2019-11-20 11:20:41,779 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - No MyBatis mapper was found in '[learn.flow.dao.repository]' package. Please check your configuration.
2019-11-20 11:20:41,933 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - No MyBatis mapper was found in '[learn.flow.dao]' package. Please check your configuration.
2019-11-20 11:20:41,941 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - No MyBatis mapper was found in '[learn.flow.dao]' package. Please check your configuration.
2019-11-20 11:20:41,970 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-20 11:20:41,989 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:182 - Finished Spring Data repository scanning in 9ms. Found 0 repository interfaces.
2019-11-20 11:20:42,360 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'org.springframework.kafka.annotation.KafkaBootstrapConfiguration' of type [org.springframework.kafka.annotation.KafkaBootstrapConfiguration$$EnhancerBySpringCGLIB$$40139bf7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-20 11:20:42,398 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6c618a74] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-20 11:20:42,764 [main] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:1010 - {dataSource-1} inited
2019-11-20 11:20:43,013 [main] INFO  [org.hibernate.jpa.internal.util.LogHelper] LogHelper.java:31 - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-11-20 11:20:43,076 [main] INFO  [org.hibernate.Version] Version.java:46 - HHH000412: Hibernate Core {5.3.12.Final}
2019-11-20 11:20:43,079 [main] INFO  [org.hibernate.cfg.Environment] Environment.java:213 - HHH000206: hibernate.properties not found
2019-11-20 11:20:43,211 [main] INFO  [org.hibernate.annotations.common.Version] JavaReflectionManager.java:49 - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-11-20 11:20:43,551 [main] INFO  [org.hibernate.dialect.Dialect] Dialect.java:157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2019-11-20 11:20:43,732 [main] INFO  [o.s.orm.jpa.LocalContainerEntityManagerFactoryBean] AbstractEntityManagerFactoryBean.java:416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-11-20 11:20:44,412 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:171 - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-20 11:20:45,366 [main] INFO  [learn.flow.dao.mapepr.SimpleMapperTest] StartupInfoLogger.java:59 - Started SimpleMapperTest in 4.623 seconds (JVM running for 6.275)
